t_start,t_end,F0,A,t0,tau_r,tau_d,F_peak,t_peak,duration
274755972.79108006,274756035.79108006,2762.283931941936,190.6308953806286,274755990.76348114,7.927079619894534,19.03885238388814,2843.125975766821,274756000.4641021,44.6756489276886
274756823.79108006,274756901.79108006,2972.4559820802924,3851.877904108628,274756837.5002171,17.93471251050721,2.1457596582112144,3132.5044433621433,274756839.5416954,9.830503225326538
274762949.79108006,274763084.79108006,2978.820920887502,10994.07941549079,274762960.6813213,1349.9657793601593,143.44184376555714,3385.3280072791276,274763084.79108006,118.89557248353958
274769635.79108006,274769899.79108006,3426.693751484127,8950.817830326729,274769650.0587352,1328.9527124882654,1687.013550315353,4749.120566207402,274769899.79108006,229.60247826576233
274770124.79108006,274770197.79108006,5026.957506188141,474.3734961931252,274770154.9373893,6.934889973635248,11.723513618234179,5192.931679363113,274770161.8040286,38.98073875904083
274770975.79108006,274771071.79108006,-7481.416067078985,14733.42878280307,274770879.79110676,39.46005125062999,755.3088321808723,4487.574691424928,274770998.25518405,188.62332499027252
274795002.79108006,274795234.79108006,3350.3200953976,215483.37261649148,274795028.39335495,2319.995969014634,68.93081620054271,5671.220982821375,274795096.3523519,203.77616143226624
274799570.79108006,274799740.79108006,6355.679614078635,9622.578069635581,274799740.60270816,33.842120724676676,1320.9997455575694,6409.084369512172,274799740.79108006,0.16950708627700806
274812594.79108006,274812665.79108006,3209.6931125408105,287.1556279566523,274812609.5235611,14.962003954724755,56.03036510796815,3359.232268244974,274812632.8332123,55.44288504123688
274813453.79108006,274813538.79108006,3163.684150079005,1928.0349378817361,274813462.6243923,32.98625761095143,12.579117388897433,3391.831594079542,274813473.2661474,52.576223611831665
